Title,Latitude,Longitude,Elevation,Area,Country,Period,Ref3,,,,,,Ref1,Ref2
Aajar (tell),36.5,37.03333333,450m,Northern Levant,Syria,,Mellaart 1981, 7/8,,,,, Matthers 1978,Matthers 1981
Abadah (tell),34.11666667,45.16666667,105m,Mesopotamian plain,Iraq, 7/8,,,,,,, Abboud 1983a, 7/8
Abdul Hosein (tepe),34.18333333,48.16666667,1700m,Southern Zagros,Iran,,Pullar et al. 1986,3,,,,, Pullar 1979,Pullar 1981
Abou Gosh,31.8,35.08333333,31°48'N  35°05'E,700m,Southern Levant,4,4,,,,,,Palestine, Mienis 1978
Abqaiq 7,0,0,,Arabian Coast of the Persian Gulf,Saudi Arabia, 8/9,,,,,,, , 8/9
Abqaiq east C (23),0,0,,Arabian Coast of the Persian Gulf,Saudi Arabia, 8/9,,,,,,, Masry 1974, 8/9
Abu Hureyra (Tell),35.83333333,38.36666667,250m,Middle Euphrate,Syria,"""3/4/5",Moore 1979,Moore 1981,Moore 1983,3,4,5, Moore 1975a,Moore 1975b
Abu Husaini,34.31666667,45.01666667,180m,Mesopotamian plain,Iraq, ,,,,,,, , 
Abu Khamis,27.05,49.21666667,10m,Arabian Coast of the Persian Gulf,Saudi Arabia, 8/9, Golding 1971,Golding 1974,Masry 1974, 8/9,,, Burkholder 1972,Burkholder
Abu Suwwan,32.28333333,35.88333333,600m,Southern Levant,Jordan,4,,,,,,, Kirkbride 1958,4
Abu Zureiq,32.63333333,35.11666667,200m,Southern Levant,Israel,,Anati 1972,Perrot 1963, ,,,, Anati  et al.1973,Anati 1971
Aciyer,38.43333333,34.13333333,1200m,Central Anatolia,Turkey,3,,,,,,, ,3
Afis (tell),37.3,36.33333333,0m,Middle Euphrate,Syria,10,,,,,,, ,10
Ahmar south (tell),36.08333333,40.7,300m,Jezireh,Syria,5,6,,,,,, ,5
Ain el-Kherkh,0,0,,Northern Levant,Syria, ,,,,,,, , 
Ain et-Tell,36.21666667,37.18333333,450m,Northern Levant,Syria,, ,,,,,, Matthers 1978,Mellaart 1981
Ain Ghazal,31.91666667,35.93333333,720m,Southern Levant,Jordan, ,,,,,,, , 
Akarçay (Huyuk),36.91666667,38.01666667,335m,Middle Euphrate,Turkey,2,3,4,5,,,, ,2
Akhtareine (tell),36.5,37.33333333,400m,Northern Levant,Syria,6,,,,,,, Matthers 1981,6
Alaca (Huyuk),40,35.01666667,1000m,Central Anatolia,Turkey, 11?,,,,,,, , 11?
Ali (tel'),0,0,,Southern Levant,Israel, 4b,,,,,,, , 4b
Ali Agha (gird),36.43333333,43.8,330m,Jezireh,Iraq,, 4b/5,,,,,, Braidwood, Howe 1960
Ali Kosh,32.55,47.31666667,200m,Southern Zagros,Iran,3,4,5,unstrat. ,,,, Renfrew et al. 1966,3
Alikemek (tepesi),0,0,,Transcaucasia,Azerbaijan,10,,,,,,, ,10
Alishar (huyuk),0,0,,,Turkey,,,,,,,, , unstrat. 
Altinkum Plaji,0,0,,Western Anatolia,Turkey,6,,,,,,, ,6
Anaseuli I,0,0,,Transcaucasia,Georgia,4,,,,,,, ,4
Anaseuli II,0,0,,Transcaucasia,Georgia,5,,,,,,, ,5
Aphrodisias,37.71666667,28.8,500m,Western Anatolia,Turkey,10,,,,,,, ,10
Apiancha (grotte),0,0,,Transcaucasia,Georgia, 4 or 5 ,,,,,,, , 4 or 5 
Aqab (tell),37.01666667,40.88333333,450m,Jezireh,Syria,,6,7,,,,, Watkins, Campbell 1987
Aratashen,0,0,,Transcaucasia,Armenia, ,,,,,,, , 
Aray 1,35.9,36.5,,Northern Levant,Syria,7,,,,,,, ,7
Aray 2,35.58333333,36.51666667,,Northern Levant,Syria,6,,,,,,, ,6
Archaq (tell),0,0,,Northern Levant,Syria, 6/7,,,,,,, , 6/7
Ard Tlaili,34.08333333,36.11666667,850m,Northern Levant,Lebanon,6,,,,,,, ,6
Arjoune (tell),34.55,36.55,800m,Northern Levant,Syria,7,,,,,,, ,7
Arpachiyah (tell),36.36666667,43.2,550m,Jezireh,Iraq,,6,7,7-Aug,,,, Davidson 1977,Renfrew et al. 1966
Arqa,0,0,,Northern Levant,Lebanon,11,,,,,,, ,11
Arslan (tepe),38.38333333,38.36666667,,High Valleys,Turkey,10,11,,,,,, ,10
Aruda (Jebel),0,0,,Middle Euphrate,Syria,11,,,,,,, ,11
Arukhlo,0,0,,Transcaucasia,Georgia, ,,,,,,, , 
Ashkelon,0,0,,Southern Levant,Israel,5,,,,,,, perrot J. 1968,5
Asiab (tepe),34.3,47.18333333,1400m,Southern Zagros,Iran,2,,,,,,, ,2
Asiklar (huyuk),0,0,,,Turkey,11,,,,,,, ,11
Asikli (Huyuk),38.35,34.23333333,1125m,Central Anatolia,Turkey,3,unstrat. ,,,,,, ,3
Askale (huyuk),0,0,,,Turkey,11,,,,,,, ,11
Asprokremnos,0,0,,Cyprus,Cyprus,5,,,,,,, ,5
Assouad (tell),36.56666667,39.01666667,400m,Middle Euphrate,Syria,4,7,,,,,, ,4
